1MO,3MO,6MO,1YR,2YR,3YR,5YR,7YR,10YR,20YR,30YR
2.675532525666426,2.6802889329548396,2.6873161007516098,2.700966958166236,2.7265738794662604,2.7498656473756142,2.7897404242547115,2.821634197761637,2.8575827759525922,2.91880318187072,2.9431474305635223
2.6985908488773993,2.71720629796712,2.7432742298868154,2.7893375117849004,2.861180024287641,2.9121760036227604,2.9728745329669812,3.001030057924732,3.014694563640013,3.0041090297175805,2.9926115210422934
2.659730807689911,2.6819023744125245,2.7127738463540845,2.766732227115182,2.848813306870639,2.904617906573604,2.9651983839100633,2.9868585820720934,2.9875303409969156,2.9441920451538266,2.9173829525229356
2.6763199464558713,2.690845644566905,2.7112827955514067,2.747720104183998,2.805682844327599,2.848169648636078,2.901930670587932,2.930385978238992,2.9495707605695465,2.9580957260494736,2.9562876395639632
2.7487309379975575,2.7760267901696873,2.813942062689129,2.8799032352622684,2.9791509859980914,3.045300051670916,3.1138198405224293,3.13434100739058,3.127092912699305,3.057834183292209,3.018041428115107
2.804464289385667,2.823044790364744,2.8488015135374605,2.8934323730661125,2.959952712549023,3.0035112525949903,3.0466636735380677,3.057095219759918,3.047513040134123,2.991213066027082,2.960218647644199
2.805388470946036,2.8307610644521275,2.865847742150346,2.9263551120826214,3.015502797767694,3.0725934761569116,3.125843844420197,3.1343344252189262,3.113688066355519,3.02191529245126,2.973235111838475
2.7751746532263666,2.7955659462570366,2.8239606425085535,2.8735969876225402,2.949128080725677,3.0005094941256965,3.056362557291652,3.0764223355844504,3.0772225390620895,3.037723315309071,3.01322017116899
2.753356000224862,2.7801093445365552,2.817495689621949,2.883298722802748,2.9850170054504406,3.0561397597124107,3.1382289240349923,3.1734781258285087,3.1862636646510443,3.15755440153959,3.1352707635811043
2.764045559514289,2.7888083421459373,2.823350798883268,2.883938672830187,2.9768587295100817,3.0409488651958254,3.1127969232513055,3.1412334486146496,3.1475617665951554,3.110144562448267,3.0848909043742054
2.823305923530913,2.8383765986014082,2.8594711391647043,2.896714209432604,2.9546883492876823,2.9957074767212237,3.044215797533414,3.0663693254898776,3.0765900413516065,3.0663623130957944,3.056346612408953
2.7863590745126654,2.8081208087136487,2.838436982320581,2.891476730936833,2.9723441440688463,3.027546866559503,3.088027696492319,3.110321657670061,3.1123399324726555,3.0724791750524334,3.0473078922424754
2.7593916432509813,2.7894422256170808,2.8312700563447075,2.9043299846001567,3.0152969326065775,3.09053212910372,3.17169001095313,3.2000836448787524,3.1997275514687082,3.1384937680028813,3.1010930212613
2.810348839230159,2.836036576959936,2.8718145080359894,2.93438438607539,3.029691838213118,3.0946425297692906,3.165533441720042,3.191341375895448,3.193056154685094,3.144689302488326,3.1144157430417585
2.78632512685225,2.8162274248626558,2.857981347580145,2.9313606948812585,3.044400551989922,3.1229733184027277,3.2125369534954973,3.2497174240274433,3.2610936891960467,3.2232657307398207,3.1959097231922904
2.843848427778399,2.874486047407765,2.917137212085145,2.9916563279461017,3.1049142020351805,3.1817934694633054,3.264950753699231,3.2943187169915564,3.2945071292805013,3.233163261622933,3.195495425068509
2.8210305449559043,2.8539553217645848,2.89985391517037,2.9802615810469555,3.1032290680972388,3.187623319005526,3.2812049149709344,3.3170395144336764,3.322858656756172,3.267997491292994,3.232238779497759
2.874017109457973,2.9077799301553267,2.954843927824379,3.0372835255747703,3.1633242557268124,3.2497863918222674,3.3455594580967842,3.382113065538814,3.3878265772689695,3.3310692547590475,3.294187078526325
2.9760906728888603,2.9977653145782264,3.02794041608354,3.0806665705666654,3.1608198396627403,3.2152489449995563,3.274175414745357,3.2950498536099837,3.295311948357735,3.2521677921843946,3.2256278752292755
2.907881680486085,2.940317694312135,2.985283255875172,3.063205710615196,3.179370018605177,3.2554663323849664,3.3309307769139775,3.3492761576154058,3.3327259439864227,3.2347923999935118,3.180834514518025
2.999187796800067,3.0285995751639114,3.0693618616425966,3.139963522474579,3.245082967715196,3.3137813348435086,3.3814903608631837,3.3973960701839747,3.3814307257843392,3.290740968776206,3.2410085165369487
2.9898137035113623,3.022670009170535,3.068105897936255,3.14646163663314,3.261909688145734,3.335847937415211,3.4048248873100095,3.415840312090008,3.3891312276887944,3.2703429573690674,3.2073271023688386
2.9633309896348377,2.9985200118642212,3.0473024749626956,3.1318408966811706,3.25787349946775,3.340441007581648,3.4223402180434577,3.442272788461836,3.4243574602404783,3.3181897662957662,3.2596854762456187
3.0486814834892684,3.083972788088796,3.1329476879027798,3.217991728612479,3.3453923051484473,3.429617453003432,3.5151207750788376,3.5385234844540774,3.525039943578882,3.4273947157614284,3.372489294163379
