1MO,3MO,6MO,1YR,2YR,3YR,5YR,7YR,10YR,20YR,30YR
0.10711719,0.1208815,0.12840536,0.120328665,0.12953588,0.15926102,0.55694294,1.089821,1.8034908,2.674633,3.10811
0.10711075,0.12087411,0.12840095,0.12033141,0.1295428,0.15926829,0.55694425,1.0898131,1.8034749,2.6746066,3.1080813
0.10711695,0.12087911,0.12840512,0.12033391,0.12953994,0.15925959,0.5569315,1.0898007,1.803467,2.6746032,3.108081
0.10714735,0.12091535,0.12842646,0.120315194,0.1295037,0.15922907,0.5569377,1.0898585,1.8035655,2.674757,3.108244
0.10716011,0.12093085,0.1284354,0.12030733,0.12948856,0.15921584,0.55694044,1.0898834,1.8036078,2.6748228,3.1083136
0.1071613,0.12093061,0.12843612,0.12031126,0.12949023,0.15921322,0.5569303,1.089868,1.8035911,2.6748037,3.1082954
0.10718776,0.120964706,0.12845495,0.12028861,0.12945458,0.1591889,0.5569508,1.089944,1.8037065,2.674974,3.1084726
0.107211486,0.12100214,0.12847188,0.1202513,0.1294106,0.1591722,0.55700564,1.090076,1.8038832,2.6752172,3.1087198
0.10721995,0.121016085,0.1284782,0.120236516,0.1293939,0.15916684,0.55702865,1.0901294,1.8039534,2.6753128,3.1088166
0.10719742,0.120986044,0.1284621,0.12025809,0.12942609,0.15918711,0.55700684,1.0900561,1.8038456,2.675156,3.108654
0.10717501,0.120961845,0.12844649,0.120265245,0.1294479,0.1592119,0.55701697,1.0900393,1.8038023,2.675079,3.1085694
0.10714103,0.12092012,0.12842229,0.12028861,0.12948987,0.15924552,0.55700445,1.0899647,1.803681,2.674893,3.1083734
0.10708453,0.12084502,0.12838235,0.120342016,0.12956986,0.15929642,0.5569513,1.0897847,1.8034145,2.6745045,3.1079705
0.10703267,0.12077981,0.12834588,0.120381236,0.12963685,0.15934673,0.55692494,1.089658,1.8032142,2.6742017,3.1076531
0.10695626,0.120690286,0.12829223,0.12042296,0.12972388,0.1594266,0.5569221,1.0895342,1.8029902,2.6738443,3.1072714
0.1068715,0.12059814,0.12823322,0.12045157,0.1298084,0.15952078,0.55695796,1.0894638,1.8028195,2.6735437,3.1069415
0.106774345,0.12048119,0.12816504,0.12051296,0.12992558,0.15962008,0.5569371,1.0892748,1.8024987,2.6730442,3.1064124
0.10669042,0.12038356,0.12810639,0.12055731,0.13002071,0.159709,0.55693984,1.0891465,1.8022617,2.6726618,3.106003
0.10654797,0.12021762,0.1280066,0.12063384,0.13018343,0.15986088,0.55694246,1.0889261,1.8018553,2.6720076,3.1053028
0.10638489,0.12005466,0.12789336,0.1206516,0.13032052,0.16005662,0.5570972,1.0889376,1.8016943,2.6716347,3.1048677
0.10625245,0.1199581,0.12780228,0.120574474,0.13036713,0.1602433,0.5574204,1.0892934,1.8019629,2.6718268,3.1049964
0.10609008,0.11985642,0.12769082,0.12043822,0.13039407,0.16048506,0.5579066,1.0898871,1.802474,2.6722877,3.105374
0.106034294,0.11993843,0.12765577,0.12009251,0.13019249,0.16066113,0.55872357,1.0912266,1.8039582,2.6740656,3.1070814
0.10607888,0.12017518,0.1276932,0.119600296,0.12981543,0.16076961,0.5597607,1.0930965,1.8061553,2.6768277,3.1097894
0.10618271,0.12044448,0.12777224,0.11917281,0.12944326,0.16079596,0.56060946,1.0947183,1.8081231,2.6793623,3.1123002
0.10632481,0.120624125,0.12787345,0.119063735,0.1292629,0.16066578,0.5606997,1.0950879,1.8086947,2.6802151,3.1131911
0.10642077,0.1207574,0.12794259,0.118961215,0.12912163,0.16058913,0.5608289,1.0954536,1.8092132,2.6809533,3.1139505
0.10654785,0.121004164,0.12803772,0.11864936,0.128818,0.16055968,0.561417,1.096645,1.8107048,2.6829183,3.1159146
0.10660519,0.1211738,0.12808397,0.11836481,0.12858734,0.1606082,0.5620289,1.0977666,1.8120414,2.684617,3.1175883
0.10671951,0.12153751,0.12817982,0.11773801,0.12809595,0.1607466,0.5634254,1.1002824,1.8150154,2.6883736,3.1212802
0.10683872,0.12206429,0.1282939,0.11673236,0.12737772,0.16109267,0.56583464,1.1044551,1.8198503,2.6943872,3.1271522
0.106626764,0.1223461,0.12818542,0.115558386,0.12682614,0.16196457,0.5691376,1.1095791,1.8253926,2.7008886,3.1333387
0.10610475,0.12229544,0.12785748,0.114468694,0.1265715,0.16318873,0.57261777,1.1145239,1.8304007,2.706402,3.1384256
0.10568823,0.12194067,0.12756482,0.11434734,0.12679598,0.16371766,0.57333004,1.1151335,1.8306717,2.7063074,3.1381536
0.104538694,0.12165874,0.12682834,0.11236131,0.12652656,0.16627267,0.58006644,1.1244128,1.8398521,2.7161674,3.1471334
0.10242118,0.12070233,0.12542513,0.10973203,0.12668344,0.17048922,0.5898768,1.137173,1.8518642,2.7283576,3.157888
0.09916462,0.11948234,0.12329916,0.10511482,0.12696955,0.17805853,0.6079997,1.1609459,1.8746281,2.7519255,3.1789093
0.09505786,0.11762327,0.12056319,0.09999752,0.12815258,0.18801692,0.6304828,1.1894876,1.9013437,2.7788432,3.2025273
