1MO,3MO,6MO,1YR,2YR,3YR,5YR,7YR,10YR,20YR,30YR
2.335304,2.4531128,2.6029327,2.775037,2.9383335,2.9324648,2.9401412,2.956632,3.0027242,3.0327437,3.0898623
2.3455584,2.4630036,2.6126127,2.784993,2.9487064,2.9413319,2.9465196,2.961416,3.0068657,3.0348353,3.0905523
2.356523,2.4733834,2.6226938,2.7954624,2.959725,2.9504094,2.9528527,2.9657748,3.010439,3.0358508,3.0902257
2.3556986,2.471979,2.62106,2.794097,2.9585593,2.9484239,2.9508355,2.9631176,3.0075402,3.0320134,3.0869985
2.3980794,2.5148005,2.6636264,2.8367965,3.00214,2.988636,2.9815328,2.9898596,3.0326452,3.0523496,3.1000404
2.4276576,2.544215,2.6926427,2.8660467,3.0320816,3.0155432,3.0016565,3.0068202,3.0482874,3.064046,3.1070359
2.4619303,2.5784857,2.7265491,2.900096,3.0668464,3.047099,3.0255144,3.0273504,3.067398,3.07909,3.1164477
2.48481,2.6015704,2.749443,2.9229116,3.0899928,3.0683877,3.0418222,3.0417712,3.0809782,3.0904334,3.1238995
2.517892,2.6360233,2.7841852,2.9567301,3.1237922,3.1010737,3.068043,3.0665622,3.1050072,3.1133823,3.1403873
2.5425875,2.6616013,2.8099587,2.9817343,3.14875,3.1250124,3.0872314,3.0845737,3.1223998,3.1299124,3.1522095
2.5530517,2.6723583,2.8207085,2.992123,3.1590378,3.1347618,3.0949404,3.0917823,3.1293323,3.136422,3.156841
2.5658321,2.6854956,2.8339055,3.0049024,3.171765,3.1468427,3.104574,3.1007483,3.1379485,3.1445236,3.1625924
2.5906556,2.711404,2.8602593,3.0300972,3.1967494,3.1711519,3.1245582,3.1197867,3.1564543,3.1628666,3.175992
2.6047175,2.7262454,2.8754654,3.0444071,3.2108126,3.1850703,3.1362364,3.1311085,3.1675494,3.174282,3.184493
2.6362252,2.7597096,2.9099944,3.0764995,3.2421403,3.2164893,3.1631305,3.157443,3.193485,3.2016866,3.2051451
2.6808836,2.8067627,2.9585702,3.1213453,3.2857678,3.2599528,3.2005847,3.1937332,3.2291098,3.2394042,3.233494
2.7199833,2.8483734,3.0020838,3.1604724,3.323308,3.2982671,3.2348475,3.227309,3.2623498,3.276177,3.26161
2.7710645,2.9027393,3.0594184,3.211028,3.3712575,3.3479376,3.2805126,3.2719896,3.3067265,3.326602,3.300446
