1MO,3MO,6MO,1YR,2YR,3YR,5YR,7YR,10YR,20YR,30YR
1.9761323,2.1013243,2.2591085,2.427808,2.581713,2.6322474,2.7262049,2.804096,2.876226,2.9832628,3.0834205
2.0117176,2.137444,2.2949307,2.4635327,2.6179178,2.6642387,2.7501926,2.8226645,2.892584,2.9932342,3.0884233
2.0421517,2.1682484,2.3254673,2.4939876,2.6488378,2.691512,2.7705758,2.8384378,2.9064577,3.0016549,3.0926003
2.0758018,2.2022915,2.3592312,2.527645,2.6830385,2.7217886,2.7932317,2.8561513,2.9221349,3.0114968,3.097659
2.124119,2.251312,2.4079573,2.576117,2.7322674,2.7658787,2.8264794,2.8828373,2.9461489,3.0278673,3.1068153
2.153298,2.2807202,2.437134,2.6051686,2.761855,2.7921238,2.8460968,2.8983722,2.959977,3.036885,3.111605
2.186563,2.3144147,2.470667,2.6384497,2.7956831,2.8225558,2.8690977,2.9171312,2.976989,3.0490112,3.1186402
2.2206697,2.34881,2.504861,2.6723974,2.8302436,2.8534765,2.8923626,2.9359977,2.994012,3.0609407,3.1254284
2.2891243,2.4178896,2.57366,2.7404888,2.8994951,2.9158273,2.939567,2.9749541,3.0294945,3.0870728,3.140952
2.471588,2.6056325,2.7637563,2.9235172,3.082953,3.0884578,3.0772305,3.0978754,3.1463997,3.1925309,3.213578
2.7572153,2.9074056,3.0843484,3.2055113,3.353005,3.3660831,3.3318272,3.3404427,3.3877673,3.463745,3.4203894
2.9603896,3.118451,3.3184152,3.4039524,3.5358098,3.5725853,3.5395164,3.5382397,3.5859568,3.7098308,3.6153922
3.0473144,3.205817,3.4150503,3.4919987,3.6180918,3.665104,3.6293347,3.6238658,3.6695356,3.811078,3.6971207
3.050891,3.2088258,3.416877,3.4945135,3.6208084,3.666061,3.6284053,3.6218555,3.6667168,3.8056104,3.6918588
3.1067457,3.2643223,3.4783332,3.5527651,3.6758544,3.7275002,3.6871185,3.6784036,3.7212791,3.870274,3.744897
2.956549,3.1127076,3.308363,3.3981545,3.5319006,3.5622206,3.5240839,3.5208924,3.5666718,3.6804109,3.5898814
2.7783167,2.9257803,3.0997605,3.224261,3.3732555,3.3796136,3.337304,3.3414962,3.385798,3.452442,3.4086206
